"Collection","docname","Tag","pattern","from","to","pre","keyword","post"
"the Tim Retzloff oral history interviews","umich-bhl-2012158_28","subjects","gay",4,4,"Gay activists ;","Gay","activists ; Gay youth ; Gay youth ; Lesbian youth ; Lesbian youth ; LGBT community ; LGBT community of Michigan ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_28","subjects","gay",7,7,"Gay activists ; Gay activists ;","Gay","youth ; Gay youth ; Lesbian youth ; Lesbian youth ; LGBT community ; LGBT community of Michigan ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_28","subjects","gay",10,10,"Gay activists ; Gay activists ; Gay youth ;","Gay","youth ; Lesbian youth ; Lesbian youth ; LGBT community ; LGBT community of Michigan ."
"the Lansing Association for Human Rights records","umich-bhl-9951_29","bioghist","gay",16,16,"published the first article in Michigan about AIDS and also started the Lansing Lesbian /","Gay","Hotline as a way of supporting the LGBT community ."
"Michigan Campaign for Human Dignity Records","umich-bhl-0099_33","scopecontent","gay",3,3,"Affirmations Lesbian","Gay","Community Center , founded in 1988 , is a community based , direct service agency for the lesbian and gay community in southeastern Michigan ."
"Merriam Family Papers, 1914-1964","umich-bhl-86977_38","bioghist","gay",7,7,"He worked for the Berkey and","Gay","Furniture Company of Grand Rapids from 1922-1930 , and for Manufacturers Selling Agency in Los Angeles from 1930-1934 , before coming to Baker Furniture ,"
"James Orin Murfin Papers, 1896-1940","umich-bhl-8630_44","persnames","gay",8,8,"( Thomas Stearns ) , 1888-1965 ;","Gay",", Edwin F ."
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_47","bioghist","gay",6,6,"Michael Neubecker is member of","Gay",", Lesbian & amp ; Straight Education Network ( GLSEN ) / Detroit and PFLAG liaison , member of Triangle Foundation Board of Advisors ,"
"Michigan Organization for Human Rights Records","umich-bhl-85287_55","subjects","gay",5,5,"Gay liberation movement ;","Gay","men ; Gays ; Homosexuality in radio ; Homosexuality ; Lesbians ; Radio broadcasting ; Demonstrations ; Gay rights . ; Homosexuals . ; Lesbians"
"Michigan Organization for Human Rights Records","umich-bhl-85287_55","subjects","gay",23,23,"Gay liberation movement ; Gay men ; Gays ; Homosexuality in radio ; Homosexuality ; Lesbians ; Radio broadcasting ; Demonstrations ;","Gay","rights . ; Homosexuals . ; Lesbians . ; Parades and processions ; Parades and processions ; Gayly speaking ( Radio program ) ; Gay"
"Michigan Organization for Human Rights Records","umich-bhl-85287_55","subjects","gay",48,48,"Gay rights . ; Homosexuals . ; Lesbians . ; Parades and processions ; Parades and processions ; Gayly speaking ( Radio program ) ;","Gay","liberation movement ; Homosexuality . ; Gays ; Lesbians . ; Public radio ; Radio programs"
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_59","subjects","gay",5,5,"Catholics ; Episcopalians ;","Gay","liberation movement ; Homosexuality ; Local transit ; Same-sex marriage . ; Transportation"
"the Christopher Armstrong papers.","umich-bhl-2014124_61","subjects","gay",8,8,"College student government ; Cyberbullying . ;","Gay","college students ; Gay men ; Gay rights ; Gay rights ; Lawyers ; Online hate speech . ; Court records ."
"the Christopher Armstrong papers.","umich-bhl-2014124_61","subjects","gay",12,12,"College student government ; Cyberbullying . ; Gay college students ;","Gay","men ; Gay rights ; Gay rights ; Lawyers ; Online hate speech . ; Court records ."
"the Christopher Armstrong papers.","umich-bhl-2014124_61","subjects","gay",15,15,"College student government ; Cyberbullying . ; Gay college students ; Gay men ;","Gay","rights ; Gay rights ; Lawyers ; Online hate speech . ; Court records ."
"the Christopher Armstrong papers.","umich-bhl-2014124_61","subjects","gay",18,18,"College student government ; Cyberbullying . ; Gay college students ; Gay men ; Gay rights ;","Gay","rights ; Lawyers ; Online hate speech . ; Court records ."
"Chris Kolb papers, 1997-2006","umich-bhl-0733_66","subjects","gay",3,3,"Legislators ;","Gay","rights ; Same-sex marriage ; Hate crimes"
"Lavender Information and Library Association records, 1989-2008","umich-bhl-9916_69","bioghist","gay",8,8,"The original name of the organization ,","Gay","and Lesbian Library Staff ( GALLS ) reflected its founding membership ."
"Spectrum Center records","umich-bhl-02139_77","bioghist","gay",13,13,"For a time , the office became home to a 24-hour ""","Gay","Hotline "" operated by members of the Gay Liberation Front ( GLF ) and funded privately by the GLF and others ."
"Spectrum Center records","umich-bhl-02139_77","bioghist","gay",21,21,"For a time , the office became home to a 24-hour "" Gay Hotline "" operated by members of the","Gay","Liberation Front ( GLF ) and funded privately by the GLF and others ."
"Spectrum Center records","umich-bhl-02139_78","bioghist","gay",1,1,"","Gay","rights advocacy was a core mission of the office ."
"Spectrum Center records","umich-bhl-02139_79","bioghist","gay",31,31,"celebrated its 40th anniversary in 2011 by holding a series of celebratory events including inviting alumni back to campus and hosting the Midwest Bisexual Lesbian","Gay","Transgender Ally College Conference ( MBLGTACC ) ."
"Spectrum Center records","umich-bhl-02139_80","subjects","gay",14,14,"Bisexual college students ; Coming out ( Sexual orientation ) ; Demonstrations ;","Gay","college students ; Gay rights ; Gays ; Gays ; Homosexuality ; Lesbians ; Lesbians ; Sexual orientation ; Transgender college students ; Interviews ."
"Spectrum Center records","umich-bhl-02139_80","subjects","gay",18,18,"Bisexual college students ; Coming out ( Sexual orientation ) ; Demonstrations ; Gay college students ;","Gay","rights ; Gays ; Gays ; Homosexuality ; Lesbians ; Lesbians ; Sexual orientation ; Transgender college students ; Interviews ."
"the Parents, Families and Friends of Lesbians and Gays (Detroit, Mich.)","umich-bhl-963_86","subjects","gay",5,5,"Demonstrations ; Demonstrations ;","Gay","rights . ; Parents of gays ; Parents of gays"
"Triangle Foundation Records","umich-bhl-0092_90","bioghist","gay",28,28,"major contribution to this effort is in compiling statistics from incident reports in the state of Michigan and contributing to the annual "" Anti-Lesbian ,","Gay",", Bisexual and Transgender Violence "" report ."
"Triangle Foundation Records","umich-bhl-0092_91","subjects","gay",24,24,"Gay rights ; Gays ; Lesbians ; Hate crimes ; Lesbians ; Lesbians ; Religion and politics . ; Violence ; Legislation ;","Gay","liberation movement ; Gay rights ; Gay activists . ; Gays"
"Triangle Foundation Records","umich-bhl-0092_91","subjects","gay",28,28,"; Gays ; Lesbians ; Hate crimes ; Lesbians ; Lesbians ; Religion and politics . ; Violence ; Legislation ; Gay liberation movement ;","Gay","rights ; Gay activists . ; Gays"
"Triangle Foundation Records","umich-bhl-0092_91","subjects","gay",31,31,"Lesbians ; Hate crimes ; Lesbians ; Lesbians ; Religion and politics . ; Violence ; Legislation ; Gay liberation movement ; Gay rights ;","Gay","activists . ; Gays"
"the Tim Retzloff oral history interviews","umich-bhl-2012158_93","scopecontent","gay",32,32,"coming out and gay life , Detroit’s gay bar scene and other community spaces , and involvement in a variety of organizations including the Detroit","Gay","Liberation Front , the Gay Liberator , Detroit Gay Activists , the Green Carnation Community Center , ONE , and the Association of Suburban People"
"the Tim Retzloff oral history interviews","umich-bhl-2012158_93","scopecontent","gay",37,37,", Detroit’s gay bar scene and other community spaces , and involvement in a variety of organizations including the Detroit Gay Liberation Front , the","Gay","Liberator , Detroit Gay Activists , the Green Carnation Community Center , ONE , and the Association of Suburban People ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_93","scopecontent","gay",41,41,"scene and other community spaces , and involvement in a variety of organizations including the Detroit Gay Liberation Front , the Gay Liberator , Detroit","Gay","Activists , the Green Carnation Community Center , ONE , and the Association of Suburban People ."
"University of Michigan assorted publications, circa 1920 - 2016","umich-bhl-0715_97","corpnames","gay",1,1,"","Gay","and Lesbian Alumni Society . ; University of Michigan ."
"Claude Halstead Van Tyne papers, 1885-1930","umich-bhl-86747_98","persnames","gay",83,83,", William Alley . ; Frédéricq , Paul , 1850-1920 ; Garfield , Harry Augustus , 1863-1942 ; Garner , James Wilford , 1871-1938 ;","Gay",", Edwin F ."
"Provost and Executive Vice-President for Academic Affairs (University of Michigan) Supplemental Files","umich-bhl-87365-3_99","corpnames","gay",16,16,"Provost's Task Force on the Campus Climate for Transgender , Bisexual , Lesbian , and","Gay","Faculty , Staff , and Students . ; University of Michigan . ; University of Michigan ."
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_103","bioghist","gay",31,31,"the organization was able to expand their involvement in such political action efforts as National Coming Out Day , and such educational endeavors as the","Gay",", Lesbian , Straight Education Network ( GLSEN ) ."
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_106","subjects","gay",8,8,"Coming out ( Sexual orientation ) ;","Gay","rights ; Gays"
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_107","corpnames","gay",13,13,"Washtenaw Rainbow Action Project . ; Boy Scouts of America . ;","Gay",", Lesbian , and Straight Education Network . ; Human Rights Campaign ( U.S . ) ; Jim Toy Community Center . ; Michigan Campaign"
"the Michigan Equality records","umich-bhl-05122_109","subjects","gay",10,10,"Anti-gay violence . ; Anti-LGBTQ + violence . ;","Gay","rights ; Homosexuality ; LGBTQ + discrimination . ; LGBTQ + support groups . ; LGBTQ + victims ' rights . ; Queer political activists"
"Ypsilanti Campaign for Equality Records, 1998-2002","umich-bhl-07129_112","subjects","gay",3,3,"Elections ;","Gay","rights"
"Forman G. Brown scrapbook.","umich-bhl-9795_113","subjects","gay",5,5,"Gay college students ;","Gay","college students ; Marching bands ; Puppeteers ; Students ; University of Michigan"
"James W. Toy Papers","umich-bhl-9744_118","corpnames","gay",3,3,"Ann Arbor","Gay","Liberation Front . ; Episcopal Church ."
"Kathleen Russell papers, 1997-2006","umich-bhl-2009149_119","corpnames","gay",3,3,"Lesbian ,","Gay",", Bisexual and Transgendered Resource Center . ; Eastern Michigan University . ; Ypsilanti Campaign for Equality ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_120","corpnames","gay",8,8,"Association of Suburban People . ; Detroit","Gay","Activists . ; Gay Liberation Front of Detroit . ; Gay liberator . ; Green Carnation Community Center . ; ONE , Inc ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_120","corpnames","gay",12,12,"Association of Suburban People . ; Detroit Gay Activists . ;","Gay","Liberation Front of Detroit . ; Gay liberator . ; Green Carnation Community Center . ; ONE , Inc ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_120","corpnames","gay",19,19,"Association of Suburban People . ; Detroit Gay Activists . ; Gay Liberation Front of Detroit . ;","Gay","liberator . ; Green Carnation Community Center . ; ONE , Inc ."
"Walter H. Sawyer papers, 1900-1931","umich-bhl-8684_122","persnames","gay",15,15,"( John Huston ) , 1863-1940 ; Garfield , James Rudolph , 1865-1950 ;","Gay",", Edwin F ."
"Daniel R. Sivil Papers","umich-bhl-0167_127","subjects","gay",7,7,"Gay activists ; Gay rights ;","Gay","liberation movement ; Gays ; Lesbians ; Gay rights . ; Gays"
"Daniel R. Sivil Papers","umich-bhl-0167_127","subjects","gay",15,15,"Gay activists ; Gay rights ; Gay liberation movement ; Gays ; Lesbians ;","Gay","rights . ; Gays"
"Sligh Family Papers","umich-bhl-85481_128","bioghist","gay",30,30,"year at the Foster and Stevens Hardware Store , and then in 1875 , he went to work in the finishing room of Berkey and","Gay",", Grand Rapids furniture manufacturers ."
"James W. Toy Papers","umich-bhl-9744_143","bioghist","gay",27,27,"addition to working toward a musicology degree , he earned his Master's degree in clinical social work while also organizing and teaching the course ""","Gay","Issues in Social Work "" in the U-M School of Social Work ."
"James W. Toy Papers","umich-bhl-9744_144","subjects","gay",13,13,"AIDS ( Disease ) ; Coming out ( Sexual orientation ) ;","Gay","college students ; Gay liberation movement ; Gay men ; Gays ; Homosexuality ; Homosexuality ; Homosexuality ; Lesbians ; Sexual orientation ; Gay rights"
"James W. Toy Papers","umich-bhl-9744_144","subjects","gay",17,17,"AIDS ( Disease ) ; Coming out ( Sexual orientation ) ; Gay college students ;","Gay","liberation movement ; Gay men ; Gays ; Homosexuality ; Homosexuality ; Homosexuality ; Lesbians ; Sexual orientation ; Gay rights ; Gays ; Demonstrations"
"James W. Toy Papers","umich-bhl-9744_144","subjects","gay",21,21,"AIDS ( Disease ) ; Coming out ( Sexual orientation ) ; Gay college students ; Gay liberation movement ;","Gay","men ; Gays ; Homosexuality ; Homosexuality ; Homosexuality ; Lesbians ; Sexual orientation ; Gay rights ; Gays ; Demonstrations ; Transgender college students"
"James W. Toy Papers","umich-bhl-9744_144","subjects","gay",37,37,"; Gay college students ; Gay liberation movement ; Gay men ; Gays ; Homosexuality ; Homosexuality ; Homosexuality ; Lesbians ; Sexual orientation ;","Gay","rights ; Gays ; Demonstrations ; Transgender college students ; Transgender people"
"James W. Toy Papers","umich-bhl-9744_145","bioghist","gay",16,16,"In 1970 , Toy helped to found and served as secretary of both the Detroit","Gay","Liberation Movement ( later known as the Detroit Gay Liberation Front ) and the Ann Arbor Gay Liberation Front , organizations established to dramatize and"
"James W. Toy Papers","umich-bhl-9744_145","bioghist","gay",25,25,"In 1970 , Toy helped to found and served as secretary of both the Detroit Gay Liberation Movement ( later known as the Detroit","Gay","Liberation Front ) and the Ann Arbor Gay Liberation Front , organizations established to dramatize and seek remedy for the discrimination and harassment that gays"
"James W. Toy Papers","umich-bhl-9744_145","bioghist","gay",33,33,"and served as secretary of both the Detroit Gay Liberation Movement ( later known as the Detroit Gay Liberation Front ) and the Ann Arbor","Gay","Liberation Front , organizations established to dramatize and seek remedy for the discrimination and harassment that gays and lesbians daily confronted ."
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_146","bioghist","gay",10,10,"He served as a member of ONE , Detroit's","Gay","Liberation Front ( serving as coordinator from 1970 to 1972 ) ; a founding member and the first lay head of Metropolitan Community Church in"
"Affirmative Action Office (University of Michigan) publications, 1973-1995","umich-bhl-02140_147","scopecontent","gay",18,18,"These include the Council for Disability Concerns and the Study Committee on the Status of Lesbians and","Gay","Men ."
"Contemporary History Project (The New Left in Ann Arbor, Mich.) transcripts of oral interviews, 1978-1979","umich-bhl-85141_149","subjects","gay",17,17,"Alternative lifestyles . ; Black power ; Civil rights ; Drug abuse . ; Feminism ;","Gay","liberation movement ; Draft . ; Peace ; Radicalism ; Political persecution ; Rock music . ; Vietnam War , 1961-1975 . ; Women's rights"
"Craig Covey papers, 1987-2010","umich-bhl-9610_150","abstract","gay",1,1,"","Gay","rights activist of Ferndale , Mich ."
"Craig Covey papers, 1987-2010","umich-bhl-9610_153","subjects","gay",8,8,"AIDS ( Disease ) ; Elections ;","Gay","men"
"Gay Delanghe papers, 1961-2006","umich-bhl-07152_154","titleproper","gay",1,1,"","Gay","Delanghe papers , 1961-2006"
"Gay Delanghe papers, 1961-2006","umich-bhl-07152_155","scopecontent","gay",2,2,"The","Gay","Delanghe papers document a range of Delanghe's professional activities , with particular focus on choreography , teaching , and performing ."
"Gay Delanghe papers, 1961-2006","umich-bhl-07152_156","scopecontent","gay",21,21,"The collection is divided into ten series of materials relating to various aspects of the professional and artistic activities of","Gay","Delanghe ."
"Gay Delanghe papers, 1961-2006","umich-bhl-07152_158","persnames","gay",3,3,"Delanghe ,","Gay",". ; Delanghe , Gay . ; Delanghe , Gay . ; Delanghe , Gay ."
"Gay Delanghe papers, 1961-2006","umich-bhl-07152_158","persnames","gay",8,8,"Delanghe , Gay . ; Delanghe ,","Gay",". ; Delanghe , Gay . ; Delanghe , Gay ."
"Gay Delanghe papers, 1961-2006","umich-bhl-07152_158","persnames","gay",13,13,"Delanghe , Gay . ; Delanghe , Gay . ; Delanghe ,","Gay",". ; Delanghe , Gay ."
"Gay Delanghe papers, 1961-2006","umich-bhl-07152_158","persnames","gay",18,18,"Delanghe , Gay . ; Delanghe , Gay . ; Delanghe , Gay . ; Delanghe ,","Gay","."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_165","bioghist","gay",9,9,"Duty first became a member of the National","Gay","and Lesbian Task Force in 1976 ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_167","bioghist","gay",5,5,"Duty and several other","Gay","rights activists brought the incident to the attention of Ypsilanti Mayor Cheryl Farmer and the City Council ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_168","bioghist","gay",14,14,"Its members described themselves as , "" a community organization for Lesbian ,","Gay",", Bisexual people , their friends and family who are committed to the empowerment of Lesbian , Gay , and Bisexual People . "" The"
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_168","bioghist","gay",32,32,""" a community organization for Lesbian , Gay , Bisexual people , their friends and family who are committed to the empowerment of Lesbian ,","Gay",", and Bisexual People . "" The group's goals were to promote awareness of gay / lesbian / bisexual / transsexual issues , foster social"
"Ruth Ellis papers, 1910-2000","umich-bhl-0047_176","abstract","gay",12,12,"Ruth Ellis of Detroit , Michigan was well known in the","Gay","community as the oldest known African American Lesbian ."
"Ruth Ellis papers, 1910-2000","umich-bhl-0047_178","scopecontent","gay",23,23,"The Ruth Ellis collection contains correspondence , photographs , and publications related to Ms . Ellis's life and her activities in the","Gay","and Lesbian community ."
"Sandra S. Cole papers, 1994-2007","umich-bhl-2010156_179","bioghist","gay",36,36,"Office of Equity and Diversity , Royster Harper , Vice President for Student Affairs , Frederic McDonald-Dennis , Director of the Office of Lesbian ,","Gay","and Bisexual Affairs , and others ."
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_181","titleproper","gay",4,4,"Affirmations Lesbian /","Gay","Community Center Records , 1989-2004"
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_182","abstract","gay",4,4,"Affirmations Lesbian /","Gay","Community Center was established in 1989 to serve as a resource to lesbian , gay , bisexual and transgender individuals in the greater Detroit area"
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_183","scopecontent","gay",13,13,"This collection reflects the operational and planning activities for Affirmations Lesbian /","Gay","Community Center ."
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_184","bioghist","gay",4,4,"Affirmations Lesbian /","Gay","Community Center was founded in 1989 based on the philosophy that "" gay is good , you are not alone . "" Originally established as"
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_185","bioghist","gay",20,20,"To reflect this shift , the organization adopted a new mission statement in 1997 : "" Affirmations Lesbian /","Gay","Community Center works to achieve respect and equality for gay , lesbian , bisexual and transgender people through social service programs , advocacy , and"
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_187","subjects","gay",8,8,"Gay men ; Lesbians ; Gays ;","Gay","rights"
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_188","corpnames","gay",4,4,"Affirmations Lesbian /","Gay","Community Center . ; Affirmations Lesbian / Gay Community Center ."
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_188","corpnames","gay",12,12,"Affirmations Lesbian / Gay Community Center . ; Affirmations Lesbian /","Gay","Community Center ."
"Dewey Ames Papers, 1982-1998","umich-bhl-2010224_191","abstract","gay",24,24,"Papers of Dewey Ames , a resident of the Metro Detroit Area who participated and organized athletic events , organizations , including the","Gay","Games ."
"Dewey Ames Papers, 1982-1998","umich-bhl-2010224_192","scopecontent","gay",10,10,"The collection largely documents Dewey Ames involvement in the","Gay","Games throughout the 1980 ' s and 1990 ' s ."
"Dewey Ames Papers, 1982-1998","umich-bhl-2010224_193","bioghist","gay",6,6,"Both teams participated in the","Gay","Games ."
"Anonymous Association of Suburban People officer’s papers, 1973-2004","umich-bhl-2013071_198","subjects","gay",8,8,"Gay liberation movement ; Gay men ;","Gay","rights ; Gays ; Contests ; Female impersonators ; Gay bars ; Gay men ; Gay rights"
"Anonymous Association of Suburban People officer’s papers, 1973-2004","umich-bhl-2013071_198","subjects","gay",18,18,"Gay liberation movement ; Gay men ; Gay rights ; Gays ; Contests ; Female impersonators ;","Gay","bars ; Gay men ; Gay rights"
"Anonymous Association of Suburban People officer’s papers, 1973-2004","umich-bhl-2013071_198","subjects","gay",21,21,"Gay liberation movement ; Gay men ; Gay rights ; Gays ; Contests ; Female impersonators ; Gay bars ;","Gay","men ; Gay rights"
"Anonymous Association of Suburban People officer’s papers, 1973-2004","umich-bhl-2013071_198","subjects","gay",24,24,"Gay liberation movement ; Gay men ; Gay rights ; Gays ; Contests ; Female impersonators ; Gay bars ; Gay men ;","Gay","rights"
"Henry Moore Bates Papers, 1886-1950","umich-bhl-851123_205","persnames","gay",20,20,"( Thomas Edmund ) , 1902-1971 ; Ferguson , Homer , 1889-1982 ; Frankfurter , Felix , 1882-1965 ;","Gay",", Edwin F ."
"Coming Out Whole Conference Collection, 1986","umich-bhl-2014133_206","abstract","gay",20,20,"The conference was held in Ann Arbor , MI and was sponsored by the University of Michigan's Lesbian and","Gay","Male Programs Office ."
"Coming Out Whole Conference Collection, 1986","umich-bhl-2014133_207","bioghist","gay",18,18,"The conference was designed by Nancy Blum who served as the Programs Co-Coordinator for the Lesbian and","Gay","Male Programs Office at the University of Michigan ."
"Coming Out Whole Conference Collection, 1986","umich-bhl-2014133_208","subjects","gay",4,4,"Addicts . ;","Gay","college students ; Homosexuality ; Lesbians ; Lesbians"
"Ruth Ellis papers, 1910-2000","umich-bhl-0047_210","bioghist","gay",21,21,"During the late 1930s and 1940s the Ellis / Franklin house served as a meeting place and temporary shelter for","Gay","men and Lesbians ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_211","titleproper","gay",3,3,"Lesbian ,","Gay",", Bisexual , and Transgender Community of Michigan Web Archive , 2010-2014"
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_213","abstract","gay",11,11,"Student activist who was involved with SDS , co-founded Kalamazoo","Gay","Liberation at Western Michigan University in 1970 , and was involved with the Gay Liberation Movement at Michigan State University in the early 1970s ."
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_213","abstract","gay",25,25,"Student activist who was involved with SDS , co-founded Kalamazoo Gay Liberation at Western Michigan University in 1970 , and was involved with the","Gay","Liberation Movement at Michigan State University in the early 1970s ."
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_214","scopecontent","gay",15,15,"Due to his involvement with SDS in the late 1960 ' s and the","Gay","Rights movement in the early 70 ' s , the Greg Kamm papers are a highly valuable resource for scholars and citizens interested in the"
"Paul C. Heaton Papers, 1997-2001","umich-bhl-0679_216","subjects","gay",4,4,"Gay rights ;","Gay","rights"
"Ann Heler Papers, 1993-1998","umich-bhl-2011064_218","scopecontent","gay",10,10,"The collection largely documents Ann Heler's involvement in the","Gay","Games during the 1990 ' s ."
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_224","bioghist","gay",28,28,"detained and referred to school authorities for his role in the student center events , Kamm's activism became focused on his involvement with the burgeoning","Gay","Rights movement ."
"Episcopal Church. Diocese of Michigan records","umich-bhl-86726_227","subjects","gay",17,17,"Camps . ; Chapels . ; Church buildings . ; Clergy . ; Demonstrations . ;","Gay","rights . ; Interiors ; Missions ; Religion . ; Women's rights . ; Anglican church buildings ; Anglican church buildings ; Anglican church buildings"
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_230","corpnames","gay",13,13,"Gay Liberation Movement ( East Lansing , Mich . ) ; Kalamazoo","Gay","Liberation . ; Students for a Democratic Society ( U.S . ) ; Gay Liberation Movement ( East Lansing , Mich . ) ; Kalamazoo"
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_230","corpnames","gay",27,27,"Liberation Movement ( East Lansing , Mich . ) ; Kalamazoo Gay Liberation . ; Students for a Democratic Society ( U.S . ) ;","Gay","Liberation Movement ( East Lansing , Mich . ) ; Kalamazoo Gay Liberation ."
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_230","corpnames","gay",39,39,"Liberation . ; Students for a Democratic Society ( U.S . ) ; Gay Liberation Movement ( East Lansing , Mich . ) ; Kalamazoo","Gay","Liberation ."
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_231","subjects","gay",5,5,"Election monitoring . ;","Gay","rights ; Students ; English teachers . ; Election monitoring ; Election monitoring ; Gay rights ; Student movements . ; Teaching ; Teaching ;"
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_231","subjects","gay",20,20,"Election monitoring . ; Gay rights ; Students ; English teachers . ; Election monitoring ; Election monitoring ;","Gay","rights ; Student movements . ; Teaching ; Teaching ; Travel ."
"Douglas M. Haller papers, 1978-2011","umich-bhl-2011138_233","bioghist","gay",33,33,"as one of five officers who formed the Executive Board of the Association of Suburban People ( ASP ) , at that time the largest","Gay","/ Lesbian social and political organization in the State of Michigan ."
"Douglas M. Haller papers, 1978-2011","umich-bhl-2011138_234","bioghist","gay",42,42,"aided the National Convention Project ( Washington , DC ) in its goal of electing pro-Gay delegates to the Democratic National Convention and securing a","Gay","civil rights plank in the party platform ."
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_235","bioghist","gay",19,19,"After spending the summer of 1973 in New York City , Kamm grew disillusioned with elements in the","Gay","Rights movement and gradually cut off his affiliation with the Gay Liberation Movement and related organizations ."
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_235","bioghist","gay",30,30,"of 1973 in New York City , Kamm grew disillusioned with elements in the Gay Rights movement and gradually cut off his affiliation with the","Gay","Liberation Movement and related organizations ."
"Douglas M. Haller papers, 1978-2011","umich-bhl-2011138_236","abstract","gay",8,8,"Archivist and information officer active in numerous","Gay","/ Lesbian organizations , notably the Association of Suburban People ( ASP ) ."
"James W. Toy Papers","umich-bhl-9744_240","bioghist","gay",67,67,"of the diocesan Church and Society Committee ; and since 1989 , he has been a member of the diocese's Task Force on Lesbian and","Gay","Men's Concerns ."
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_267","scopecontent","gay",13,13,"The papers are especially important for understanding the evolution of Lesbian ,","Gay",", Bisexual , and Transgender rights in the state because Kamm , as cofounder of Kalamazoo Gay Liberation and an officer of the Gay Liberation"
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_267","scopecontent","gay",30,30,"important for understanding the evolution of Lesbian , Gay , Bisexual , and Transgender rights in the state because Kamm , as cofounder of Kalamazoo","Gay","Liberation and an officer of the Gay Liberation Movement at MSU , was intimately involved with the movement in the years immediately succeeding the Stonewall"
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_267","scopecontent","gay",37,37,", Gay , Bisexual , and Transgender rights in the state because Kamm , as cofounder of Kalamazoo Gay Liberation and an officer of the","Gay","Liberation Movement at MSU , was intimately involved with the movement in the years immediately succeeding the Stonewall riots ."
"Triangle Foundation Records","umich-bhl-0092_299","bioghist","gay",15,15,"In 1983 the MOHR Foundation was created to receive tax deductible contributions The Lesbian","Gay","Foundation of Michigan was formed in 1990 when MOHR and the MOHR Foundation separated ."
"Parents, Families and Friends of Lesbians and Gays, Lansing area chapter records","umich-bhl-00140_312","bioghist","gay",25,25,"Similar support groups began forming across the country , and in 1979 they met in Washington , DC at the first National March for","Gay","and Lesbian Rights ."
"James W. Toy Papers","umich-bhl-9744_337","bioghist","gay",38,38,"ACLU , the state board of the Michigan Organization for Human Rights , the Ann Arbor Area Association for Civil Concerns , the Lesbian /","Gay","Political Caucus of Washtenaw County , and the Huron Valley Chapter of Wellness Network ( now the HIV / AIDS Resource Center , or HARC"
"Spectrum Center records","umich-bhl-02139_357","bioghist","gay",14,14,"Much of the first public demonstration to revise 14.06 was done by the","Gay","Liberation Front and then in the 1980s by a student group known as LaGROC ( Lesbian and Gay Rights on Campus ) ."
"Spectrum Center records","umich-bhl-02139_357","bioghist","gay",32,32,"to revise 14.06 was done by the Gay Liberation Front and then in the 1980s by a student group known as LaGROC ( Lesbian and","Gay","Rights on Campus ) ."
"Spectrum Center records","umich-bhl-02139_358","bioghist","gay",42,42,"Sexuality Office to the Lesbian-Gay Male Programs Office ( LGMPO ) ; to the Lesbian-Gay Male-Bisexual Programs Office ; to the Office of Lesbian ,","Gay",", Bisexual and Transgender Affairs ( LGBTA ) ; and , most recently , to the Spectrum Center ."
